lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
154315	bala	mn	7854	5592	0		power; strength; might; vigour; force; expertness in; stoutness; troops; an army; semen; = Balarāma; [min.] bronze; name of Śiva
7442	atra	ind	7482	0	0		in this matter; in this respect; in this place; here; there; then; at this time
36096	manas	n	7226	6223	0		mind (in its widest sense as applied to all the mental powers); intellect; intelligence; understanding; perception; sense; conscience; will (in phil. the internal organ or antaḥ-karaṇa of perception and cognition); the spirit or spiritual principle; the breath or living soul which escapes from the body at death (called asu in animals); thought; imagination; excogitation; invention; reflection; opinion; intention; inclination; affection; desire; mood; temper; spirit; name of the 26th Kalpa; name of the lake Mānasa
203521	tasmāt	ind	7212	0	0		therefore
66339	ratha	m	7091	5401	0		a chariot; car; esp. a two-wheeled war-chariot (lighter and swifter than the anas); any vehicle or equipage or carriage (applied also to the vehicles of the gods); waggon; cart; a warrior; hero; champion; the body; a limb; member; part; Calamus Rotang; Dalbergia Ougeinensis; = pauruṣa
13752	kāma	m	7075	5292	0		wish; desire; longing; desire for; longing after; love; affection; object of desire or of love or of pleasure; pleasure; enjoyment; especially sexual love or sensuality; Love or Desire personified; name of the god of love; name of Agni; name of Viṣṇu; name of Baladeva; a stake in gambling; a species of mango tree; name of a metre consisting of four lines of two long syllables each; a kind of bean; a particular form of temple; name of several men; Artemisia vulgaris Linn.
156232	grah	4. P.	7073	1730	1439	0.88	to seize; to take (by the hand); to grasp; to lay hold of; to arrest; to stop; to catch; to take captive; to take prisoner; to capture; to imprison; to take possession of; to gain over; to captivate; to overpower (esp. said of diseases and demons and the punishments of Varuṇa); to eclipse; to abstract; to take away (by robbery); to lay the hand on; to claim; to gain; to win; to obtain; to receive; to accept; to keep; to observe; to recognise; (in astron.) to observe; to receive into the mind; to apprehend; to understand; to learn; (in astron.) to calculate; to admit; to approve; to obey; to follow; to take for; to consider as; to perceive; to sense; to pronounce (a name)
105774	saha	ind	6964	0	0		together with; along with; with
63959	iha	ind	6847	0	0		in this place; here; to this place; in this world; in this book or system; in this case; now; at this time
157422	yaj	2. P.	6755	3163	1363	0.67	to worship; to adore; to honour (esp. with sacrifice or oblations); to consecrate; to hallow; to offer; to be sacrificed or worshipped; to recite an offering verse
144647	puruṣa	m	6563	4632	0		a man; male; human being (people); a person; an officer; a servant; a friend; a member of a race or generation; the height of a man; the pupil of the eye; the primeval man; the soul; the Supreme being; the fragrant exhalation of plants; name of various signs of the zodiac; Rottleria Tinctoria; Clerodendrum Phlomoides; Einwohner; a statue
73699	yadi	ind	6499	0	0		in case that; if; whether
157629	hu	3. Ā.	6418	1118	2640	0.74	to sacrifice (esp. pour butter into the fire); to offer or present an oblation (acc. or gen.) to (dat.) or in; to sacrifice to; to worship or honour (acc.) with (instr.); to sprinkle on; libieren
154076	phala	n	6387	4298	0		fruit (esp. of trees); the kernel or seed of a fruit; a nutmeg; the 3 myrobalans; the menstrual discharge; fruit (met.); consequence; effect; result; retribution (good or bad); gain or loss; reward or punishment; advantage or disadvantage; benefit; enjoyment; compensation; (in rhet.) the issue or end of an action; (in math.) the result of a calculation; product or quotient; corrective equation; area or superficial contents of a figure; interest on capital; the third term in a rule of three sum; a gift; donation; a gaming board; a blade (of a sword or knife); the point of an arrow; a shield; a ploughshare; a point or spot on a die; [gemm.]; [gramm.] the root phal
