lemma	slp1	class	freq	gloss
mārkaṇḍeya	mArkaRqeya	a_m	647	patr. of an ancient sage
indu	indu	u_m	647	periodic changes of the moon
saṃkāśa	saMkASa	a_m	646	look
vijñāna	vijYAna	a_n	646	act of distinguishing or discerning
bāndhava	bAnDava	a_m	646	kinsman
maṇi	maRi	i_m	644	jewel
prayoga	prayoga	a_m	643	joining together
bandha	banDa	a_m	641	binding
savana	savana	a_n	641	act of pressing out the Soma-juice
prabhṛti	praBfti	i_m	638	bringing forward
rāga	rAga	a_m	636	act of colouring or dyeing
vājin	vAjin	in_m	635	warrior
annādya	annAdya	a_n	633	food in general
snāna	snAna	a_n	632	bathing
