rank	lemma_id	lemma	dcs_grammar	upos	count	gloss
37289	74756	varyā	f	NOUN	3	a girl who chooses her husband; a kind of plant
37290	63869	icchāvat	adj	ADJ	3	wishing; wishful; desirous
37291	15657	pativatnī	f	NOUN	3	having a husband; a married woman
37292	174631	vārastrī	f	NOUN	3	a harlot
37293	211772	vipraśnikā	f	NOUN	3	a female fortuneteller
37294	65348	yauvata	n	NOUN	3	a number of girls or young women
37295	95737	ḍimbhā	f	NOUN	3	an infant
37296	74955	valina	adj	ADJ	3	shrivelled; wrinkled; flaccid
37297	21512	apogaṇḍa	adj	ADJ	3	not under sixteen years of age; a child or infant; timid; flaccid; having a limb too many or too few
37298	48122	vigra	adj	ADJ	3	strong; vigorous; noseless
37299	64037	īrma	mn	NOUN	3	a sore or wound
37300	63571	indraluptaka	mn	NOUN	3	morbid baldness of the head; loss of beard
37301	100929	dadruṇa	adj	ADJ	3	leprous
37302	41182	śleṣmaṇa	adj	ADJ	3	phlegmatic; slimy; producing phlegm or mucus
37303	96700	tarasa	mn	NOUN	3	meat
37304	2642	karoṭi	f	NOUN	3	basin; cup; skull
37305	174647	ghuṭikā	f	NOUN	3	the ancle
37306	40987	śroṇiphalaka	n	NOUN	3	the hip and loins; the hip-bone (os ilium)
37307	68268	vatsa	mn	NOUN	3	the breast; chest
37308	35808	madhya	mn	NOUN	3	the middle of the body; a woman's waist; (in alg.) the middle term or the mean of progression; a kind of weight
37309	151753	pratala	m	NOUN	3	the open hand with the fingers extended
37310	131865	śirodhi	m	NOUN	3	
37311	13268	kākuda	n	NOUN	3	the palate
37312	99570	sṛkviṇī	f	NOUN	3	the corner of the mouth
37313	53671	alaṃkariṣṇu	adj	ADJ	3	fond of ornament
37314	97506	tālapattra	n	NOUN	3	a palm-leaf; "a kind of ear-ornament"; Trigonella foenum graecum
37315	80970	lambana	n	NOUN	3	hanging down; depending; falling; a particular mode of fighting; the moon's parallax in longitude; the interval of the lines between the earth's centre and surface; a fringe; a long necklace (depending from the neck to the navel); name of a Varsha in Kuśadvīpa
37316	94180	pārihārya	m	NOUN	3	a bracelet
37317	82901	tulākoṭi	mf	NOUN	3	the end of the beam; a foot-ornament of women; name of a weight; ten millions
37318	154125	phāla	n	NOUN	3	a garment of cotton; a ploughed field; the forehead
37319	56582	udgamanīya	n	NOUN	3	a clean cloth or garment; a pair of bleached cloths or sheets
37320	15265	paṭaccara	n	NOUN	3	old or ragged clothes; a worn garment
37321	3384	kūrpāsaka	m	NOUN	3	bodice; jacket; cuirass; corselet
37322	58750	āprapadīna	adj	ADJ	3	reaching to the fore part of the foot (as a dress)
37323	144341	pītana	n	NOUN	3	orpiment; saffron; Pinus Deodora; [min.] = haritāla
37324	42706	dhīra	n	NOUN	3	saffron
37325	67616	vaṃśika	n	NOUN	3	aloe wood
37326	175185	kṛmija	n	NOUN	3	aloe
37327	64611	yāvana	m	NOUN	3	olibanum
37328	5091	kośaphala	n	NOUN	3	the scrotum; a nutmeg; a kind of perfume (a berry containing a waxy and fragrant substance)
37329	83517	tailaparṇika	n	NOUN	3	the wood of that tree; sandal
37330	19711	pariṣyanda	m	NOUN	3	decoration of the hair; a river; stream; moisture; sandbank; island; keeping or entertaining (a sacred fire)
37331	151741	pratigrāha	m	NOUN	3	a spittoon; accepting gifts
37332	15496	patadgraha	m	NOUN	3	a receptacle for alms; the rear of an army; a spittoon (?)
37333	63033	āsthānī	f	NOUN	3	an assembly
37334	18963	paricāyya	m	NOUN	3	(sc. agni) a sacrificial fire arranged in a circle; raising the rent or revenue of a land
37335	19894	parīṣṭi	f	NOUN	3	investigation; research; inquiry; service; attendance; homage; freedom of will
37336	125273	gṛhāgata	m	NOUN	3	a guest
37337	44147	namasyā	f	NOUN	3	reverence; adoration
37338	114567	vrajyā	f	NOUN	3	travelling; wandering; gait; march; attack; invasion; name of a poem by Kavicandra
37339	45869	upasparśa	m	NOUN	3	touching; contact; washing; bathing; ablution (as a religious act); sipping water (from the palm of the hand and swallowing it as a ceremonial)
37340	143585	puṇyaka	n	NOUN	3	name of a particular ceremony performed by a woman; the present made to a wife on the occasion of the Puṇyaka ceremony
37341	73213	yatin	m	NOUN	3	an ascetic; devotee
37342	70482	rājanyaka	n	NOUN	3	a number or assemblage of warriors
37343	146415	darśaka	m	NOUN	3	a door-keeper; a skilful man; name of a prince; name of a people
37344	10632	anīkastha	m	NOUN	3	a warrior or combatant; an armed or royal guard; a sentinel; the trainer of an elephant; an elephant-driver; a mark; a sign; signal; a military drum
37345	91402	dveṣaṇa	adj	ADJ	3	hating; disliking; foe; enemy
37346	112505	sāptapadīna	n	NOUN	3	friendship (formed with any one after taking seven paces together); intimacy; circumanibulation of the nuptial fire by the bride and bridegroom in seven steps; advance of the bride to meet the bridegroom in seven steps
37347	72715	mauhūrta	m	NOUN	3	an astrologer
37348	9733	adhvanīna	m	NOUN	3	a traveller
37349	9734	adhvanya	m	NOUN	3	a traveller
37350	29396	samañjasa	n	NOUN	3	propriety; fitness; truth; consistency; correct evidence
37351	9244	sajjana	n	NOUN	3	a flight of steps or Ghāt leading down to the water; ferry; equipment; preparation; a guard; sentry; clinging to; hanging
37352	102278	stamberama	m	NOUN	3	an elephant
37353	27322	madakala	m	NOUN	3	an elephant
37354	64165	īṣikā	f	NOUN	3	an elephant's eyeball; a painter's brush; a weapon; a dart or arrow
37355	161199	ghoṭaka	m	NOUN	3	a horse
37356	14063	kāmboja	adj	ADJ	3	born in or coming from Kamboja (as horses)
